version,n,threads,rep,time_s,gflops
v6_blocked_NB96,2000,64,3,0.011402,233.8775
v6_blocked_NB96,2000,76,1,0.011741,227.1163
v6_blocked_NB96,2000,76,2,0.011030,241.7654
v6_blocked_NB96,2000,76,3,0.010822,246.4206
v6_blocked_NB96,4000,1,1,2.963264,7.1993
v6_blocked_NB96,4000,1,2,2.959809,7.2077
v6_blocked_NB96,4000,1,3,2.958176,7.2117
v6_blocked_NB96,4000,2,1,1.567676,13.6083
v6_blocked_NB96,4000,2,2,1.566138,13.6216
v6_blocked_NB96,4000,2,3,1.564774,13.6335
v6_blocked_NB96,4000,4,1,1.126909,18.9308
v6_blocked_NB96,4000,4,2,1.127108,18.9275
v6_blocked_NB96,4000,4,3,1.127038,18.9287
v6_blocked_NB96,4000,8,1,0.747969,28.5217
v6_blocked_NB96,4000,8,2,0.748134,28.5154
v6_blocked_NB96,4000,8,3,0.747846,28.5264
v6_blocked_NB96,4000,16,1,0.382287,55.8046
v6_blocked_NB96,4000,16,2,0.381992,55.8477
v6_blocked_NB96,4000,16,3,0.382482,55.7761
v6_blocked_NB96,4000,32,1,0.206398,103.3600
v6_blocked_NB96,4000,32,2,0.206336,103.3912
v6_blocked_NB96,4000,32,3,0.206068,103.5256
v6_blocked_NB96,4000,48,1,0.147804,144.3351
v6_blocked_NB96,4000,48,2,0.137891,154.7114
v6_blocked_NB96,4000,48,3,0.140431,151.9135
v6_blocked_NB96,4000,64,1,0.122269,174.4782
v6_blocked_NB96,4000,64,2,0.115409,184.8494
v6_blocked_NB96,4000,64,3,0.109083,195.5704
v6_blocked_NB96,4000,76,1,0.102813,207.4959
v6_blocked_NB96,4000,76,2,0.105848,201.5477
v6_blocked_NB96,4000,76,3,0.103652,205.8172
v6_blocked_NB96,6000,1,1,11.009290,6.5399
v6_blocked_NB96,6000,1,2,11.005113,6.5424
v6_blocked_NB96,6000,1,3,11.004873,6.5426
v6_blocked_NB96,6000,2,1,5.684380,12.6663
v6_blocked_NB96,6000,2,2,5.677469,12.6817
v6_blocked_NB96,6000,2,3,5.678918,12.6785
v6_blocked_NB96,6000,4,1,4.161887,17.2998
v6_blocked_NB96,6000,4,2,4.163476,17.2932
v6_blocked_NB96,6000,4,3,4.162268,17.2983
v6_blocked_NB96,6000,8,1,2.787454,25.8300
v6_blocked_NB96,6000,8,2,2.787257,25.8319
v6_blocked_NB96,6000,8,3,2.787158,25.8328
v6_blocked_NB96,6000,16,1,1.414802,50.8905
v6_blocked_NB96,6000,16,2,1.415452,50.8671
v6_blocked_NB96,6000,16,3,1.415168,50.8774
v6_blocked_NB96,6000,32,1,0.760081,94.7267
v6_blocked_NB96,6000,32,2,0.758288,94.9507
v6_blocked_NB96,6000,32,3,0.758750,94.8929
v6_blocked_NB96,6000,48,1,0.589111,122.2181
v6_blocked_NB96,6000,48,2,0.595226,120.9625
v6_blocked_NB96,6000,48,3,0.592400,121.5394
v6_blocked_NB96,6000,64,1,0.455747,157.9823
v6_blocked_NB96,6000,64,2,0.451313,159.5346
v6_blocked_NB96,6000,64,3,0.460265,156.4316
v6_blocked_NB96,6000,76,1,0.386991,186.0510
v6_blocked_NB96,6000,76,2,0.383505,187.7422
v6_blocked_NB96,6000,76,3,0.390280,184.4829
v6_blocked_NB96,8000,1,1,27.319070,6.2472
v6_blocked_NB96,8000,1,2,27.317351,6.2476
v6_blocked_NB96,8000,1,3,27.320487,6.2468
v6_blocked_NB96,8000,2,1,13.998104,12.1921
v6_blocked_NB96,8000,2,2,14.002842,12.1880
v6_blocked_NB96,8000,2,3,13.997779,12.1924
v6_blocked_NB96,8000,4,1,10.366132,16.4639
v6_blocked_NB96,8000,4,2,10.364424,16.4666
v6_blocked_NB96,8000,4,3,10.365300,16.4652
v6_blocked_NB96,8000,8,1,6.966195,24.4993
v6_blocked_NB96,8000,8,2,6.966037,24.4998
v6_blocked_NB96,8000,8,3,6.965932,24.5002
v6_blocked_NB96,8000,16,1,3.522540,48.4499
v6_blocked_NB96,8000,16,2,3.521781,48.4603
v6_blocked_NB96,8000,16,3,3.522057,48.4565
v6_blocked_NB96,8000,32,1,1.900817,89.7860
v6_blocked_NB96,8000,32,2,1.900021,89.8236
v6_blocked_NB96,8000,32,3,1.899674,89.8400
v6_blocked_NB96,8000,48,1,1.246697,136.8951
v6_blocked_NB96,8000,48,2,1.453303,117.4336
v6_blocked_NB96,8000,48,3,1.336848,127.6635
v6_blocked_NB96,8000,64,1,1.054796,161.8006
v6_blocked_NB96,8000,64,2,1.044868,163.3381
v6_blocked_NB96,8000,64,3,1.047737,162.8908
v6_blocked_NB96,8000,76,1,0.933344,182.8551
v6_blocked_NB96,8000,76,2,0.945269,180.5482
v6_blocked_NB96,8000,76,3,0.946590,180.2963
